"song" "mix" "expert" "chal" "bpm_min" "bpm_max" "static_bpm" "gSP" "BSP" "DSP" "ESP" "CSP" "event" "gold"
"bag" "8thMIX EXTREME" 1 1 65 65 65 2 7 11 13 13 0 0
"BE LOVIN" "8thMIX EXTREME" 1 0 185 186 185 4 5 9 12 NA 0 0
"BLUE IMPULSE ~for EXTREME~" "8thMIX EXTREME" 1 0 145 145 145 2 4 6 9 NA 0 0
"CALICO CAT ROCK" "8thMIX EXTREME" 1 0 152 250 0 4 5 8 12 NA 0 0
"Colors ~for EXTREME~" "8thMIX EXTREME" 1 1 150 150 150 3 5 8 9 13 0 0
"CUTIE CHASER(MORNING MIX)" "8thMIX EXTREME" 1 0 126 126 126 3 3 4 9 NA 0 0
"DAIKENKAI" "8thMIX EXTREME" 1 1 143 172 0 4 4 8 12 13 0 0
"Dance Dance Revolution" "8thMIX EXTREME" 1 1 150 150 150 5 6 8 12 12 0 0
"Destiny lovers" "8thMIX EXTREME" 1 0 170 171 170 3 4 7 13 NA 0 0
"DROP THE BOMB(SyS.F. Mix)" "8thMIX EXTREME" 1 0 150 150 150 3 5 7 10 NA 0 0
"Frozen Ray(for EXTREME)" "8thMIX EXTREME" 1 0 156 157 156 4 5 9 12 NA 0 0
"Gamelan de Couple" "8thMIX EXTREME" 1 0 150 150 150 3 4 7 12 NA 0 0
"GRADUATION" "8thMIX EXTREME" 1 0 125 125 125 2 3 7 9 NA 0 0
"Happy Wedding" "8thMIX EXTREME" 1 0 126 126 126 3 4 6 10 NA 0 0
"Heaven is a '57 metallic gray ~gimmix~" "8thMIX EXTREME" 1 0 63 190 0 4 5 7 12 NA 0 0
"HYPER EUROBEAT" "8thMIX EXTREME" 1 0 152 153 152 3 4 6 10 NA 0 0
"I'm gonna get you!" "8thMIX EXTREME" 1 0 160 161 160 3 4 7 9 NA 0 0
"jane jana" "8thMIX EXTREME" 1 0 125 125 125 3 4 7 10 NA 0 0
"JET WORLD" "8thMIX EXTREME" 1 0 138 138 138 3 4 7 11 NA 0 0
"KISS KISS KISS" "8thMIX EXTREME" 1 0 150 151 150 4 5 6 12 NA 0 0
"Kiss me all night long" "8thMIX EXTREME" 1 0 155 155 155 3 3 6 10 NA 0 0
"L'amour et la liberte(DDR Ver.)" "8thMIX EXTREME" 1 0 145 145 145 3 6 9 12 NA 0 0
"LA BAMBA (extreme)" "8thMIX EXTREME" 1 0 179 179 179 3 4 8 11 NA 0 0
"LOVE LOVE SHINE" "8thMIX EXTREME" 1 0 177 177 177 3 5 6 9 NA 0 0
"LOVE LOVE SUGAR" "8thMIX EXTREME" 1 0 155 155 155 3 4 6 8 NA 0 0
"Miracle Moon ~L.E.D.LIGHT STYLE MIX~" "8thMIX EXTREME" 1 0 138 138 138 3 4 6 9 NA 0 0
"PARANOIA survivor" "8thMIX EXTREME" 1 0 135 270 0 4 9 11 15 NA 0 0
"PARANOIA survivor MAX" "8thMIX EXTREME" 1 1 73 290 0 5 9 11 15 16 0 0
"Pink Rose" "8thMIX EXTREME" 1 0 146 146 146 3 4 6 10 NA 0 0
"SAKURA" "8thMIX EXTREME" 1 1 21 320 0 5 7 11 13 11 0 0
"SO IN LOVE" "8thMIX EXTREME" 1 0 112 112 112 3 4 7 9 NA 0 0
"STAY (Organic house Version)" "8thMIX EXTREME" 1 0 125 125 125 3 4 7 9 NA 0 0
"stoic (EXTREME version)" "8thMIX EXTREME" 1 0 155 155 155 3 5 9 13 NA 0 0
"sync (EXTREME version)" "8thMIX EXTREME" 1 1 167 167 167 3 5 8 9 12 0 0
"TEARS" "8thMIX EXTREME" 1 0 143 143 143 3 6 8 12 NA 0 0
"The Least 100sec" "8thMIX EXTREME" 1 0 200 265 0 5 7 11 12 NA 0 0
"The legend of MAX" "8thMIX EXTREME" 1 0 83 333 0 7 8 13 15 NA 0 0
"TRIP MACHINE survivor" "8thMIX EXTREME" 1 0 170 170 170 4 5 11 13 NA 0 0
"Twin Bee -Generation X-" "8thMIX EXTREME" 1 0 169 169 169 3 5 8 11 NA 0 0
"V ~for EXTREME~" "8thMIX EXTREME" 1 1 150 150 150 3 5 8 12 13 0 0
"VANITY ANGEL" "8thMIX EXTREME" 1 0 140 140 140 3 4 9 12 NA 0 0
"xenon" "8thMIX EXTREME" 1 0 158 159 158 3 5 10 13 NA 0 0
"A Stupid Barber" "SuperNOVA" 1 0 132 132 132 3 4 8 9 NA 0 0
"AA" "SuperNOVA" 1 0 154 154 154 3 5 9 13 NA 0 0
"Bad Routine" "SuperNOVA" 1 0 129 130 130 3 5 7 9 NA 0 0
"Baile Le Samba" "SuperNOVA" 1 0 92 92 92 1 3 10 11 NA 0 0
"BALLAD FOR YOU" "SuperNOVA" 1 0 65 68 65 2 5 7 8 NA 0 0
"Brazilian Anthem" "SuperNOVA" 1 0 130 130 130 3 5 8 12 NA 0 0
"cachaca" "SuperNOVA" 1 0 128 128 128 1 3 7 12 NA 0 0
"CAN'T STOP FALLIN' IN LOVE -super euro version-" "SuperNOVA" 1 0 155 155 155 3 4 7 8 NA 0 0
"Can Be Real" "SuperNOVA" 1 0 132 132 132 3 4 6 10 NA 0 0
"CENTAUR" "SuperNOVA" 1 0 140 140 140 4 6 9 12 NA 0 0
"CHAOS" "SuperNOVA" 1 1 170 170 170 6 8 12 14 16 0 0
"CHIKARA" "SuperNOVA" 1 0 185 186 185 4 5 8 10 NA 0 0
"CURUS" "SuperNOVA" 1 0 184 188 0 2 3 7 10 NA 0 0
"DanDanDO(The true MAN's Road)" "SuperNOVA" 1 0 156 160 0 3 4 7 12 NA 0 0
"DoLL" "SuperNOVA" 1 1 170 171 170 4 5 8 12 13 0 0
"Dragon Blade" "SuperNOVA" 1 0 240 240 240 5 9 10 11 NA 0 0
"Fascination ~eternal love mix~" "SuperNOVA" 1 1 100 400 0 9 11 13 16 18 0 0
"Fascination MAXX" "SuperNOVA" 1 1 100 400 0 6 11 13 17 18 0 0
"Flow" "SuperNOVA" 1 0 140 140 140 4 5 9 12 NA 0 0
"Flow (True Style)" "SuperNOVA" 1 1 140 280 0 4 6 9 12 13 0 0
"Fly away" "SuperNOVA" 1 0 125 125 125 3 4 7 11 NA 0 0
"Forever Sunshine" "SuperNOVA" 1 0 127 128 127 3 4 7 8 NA 0 0
"Freedom" "SuperNOVA" 1 0 148 148 148 3 5 7 11 NA 0 0
"Funk Boogie" "SuperNOVA" 1 0 127 128 127 4 5 4 8 NA 0 0
"Gekkou chou" "SuperNOVA" 1 0 218 218 218 4 4 7 10 NA 0 0
"GORGEOUS 2012" "SuperNOVA" 1 0 135 136 135 4 3 8 10 NA 0 0
"Hana Ranman -Flowers-" "SuperNOVA" 1 0 160 160 160 3 5 7 11 NA 0 0
"HAPPY ANGEL" "SuperNOVA" 1 1 179 180 180 4 4 8 12 16 0 0
"Healing-D-Vision" "SuperNOVA" 1 1 180 360 0 6 9 12 14 18 0 0
"Himawari" "SuperNOVA" 1 0 185 186 185 3 4 7 11 NA 0 0
"I Need You" "SuperNOVA" 1 0 114 114 114 3 4 6 8 NA 0 0
"iFUTURELIST(DDR VERSION)" "SuperNOVA" 1 1 150 151 150 3 5 7 12 13 0 0
"INNOCENCE OF SILENCE" "SuperNOVA" 1 0 71 142 0 3 5 10 12 NA 0 0
"INSIDE YOUR HEART" "SuperNOVA" 1 0 107 107 107 3 4 6 9 NA 0 0
"Jam & Marmalade" "SuperNOVA" 1 0 145 145 145 3 4 8 11 NA 0 0
"KAGEROW (Dragonfly)" "SuperNOVA" 1 0 164 164 164 3 4 7 9 NA 0 0
"KEEP ON MOVIN' ~DMX MIX~" "SuperNOVA" 1 0 132 132 132 3 5 7 11 NA 0 0
"Konoko no nanatsu no oiwaini" "SuperNOVA" 1 0 161 161 161 3 7 10 14 NA 0 0
"La Bamba (supernova)" "SuperNOVA" 1 0 156 156 156 3 5 8 11 NA 0 0
"LOGICAL DASH" "SuperNOVA" 1 0 144 144 144 3 4 7 11 NA 0 0
"LOVE IS ORANGE" "SuperNOVA" 1 1 180 180 180 3 5 7 9 11 0 0
"Make A Difference" "SuperNOVA" 1 0 130 132 130 3 5 7 12 NA 0 0
"MARIA(I believe...)" "SuperNOVA" 1 0 158 159 158 3 5 8 11 NA 0 0
"MAX 300 (Super-Max-Me Mix)" "SuperNOVA" 1 1 140 320 0 6 10 13 15 16 0 0
"MAXIMIZER" "SuperNOVA" 1 0 190 190 190 5 6 9 12 NA 0 0
"MIDNIGHT SPECIAL" "SuperNOVA" 1 0 182 182 182 3 7 9 10 NA 0 0
"Mind Parasite" "SuperNOVA" 1 0 145 146 145 3 5 9 13 NA 0 0
"Monkey Punk" "SuperNOVA" 1 0 180 180 180 4 5 8 10 NA 0 0
"MOON" "SuperNOVA" 1 0 156 157 156 3 3 7 10 NA 0 0
"Mugen" "SuperNOVA" 1 0 171 171 171 4 4 8 11 NA 0 0
"murmur twins" "SuperNOVA" 1 0 174 175 174 3 4 8 11 NA 0 0
"My Only Shining Star" "SuperNOVA" 1 0 155 155 155 3 4 7 9 NA 0 0
"NIJIIRO" "SuperNOVA" 1 1 160 161 160 3 4 8 11 13 0 0
"No.13" "SuperNOVA" 1 0 172 172 172 4 5 9 13 NA 0 0
"PARANOiA-Respect-" "SuperNOVA" 1 0 300 300 300 5 11 12 16 NA 0 0
"PASSION OF LOVE" "SuperNOVA" 1 0 78 155 0 4 5 7 10 NA 0 0
"Polovtsian Dances And Chorus" "SuperNOVA" 1 0 146 146 146 3 4 9 11 NA 0 0
"PUT YOUR FAITH IN ME ~SATURDAY NIGHT MIX~" "SuperNOVA" 1 0 120 121 120 3 5 8 9 NA 0 0
"Quick Master" "SuperNOVA" 1 0 147 147 147 4 5 8 11 NA 0 0
"Quickening" "SuperNOVA" 1 0 150 150 150 3 6 7 11 NA 0 0
"rainbow flyer" "SuperNOVA" 1 0 148 148 148 3 4 6 11 NA 0 0
"rainbow rainbow" "SuperNOVA" 1 0 177 177 177 4 4 7 10 NA 0 0
"RED ZONE" "SuperNOVA" 1 0 165 165 165 4 6 8 12 NA 0 0
"Saturday Night Love" "SuperNOVA" 1 0 128 128 128 3 4 6 8 NA 0 0
"Scorching Moon" "SuperNOVA" 1 0 125 126 125 3 4 7 11 NA 0 0
"SEDUCTION" "SuperNOVA" 1 0 95 190 0 4 6 9 12 NA 0 0
"SEDUCTION(Vocal Remix)" "SuperNOVA" 1 0 190 190 190 3 6 9 12 NA 0 0
"Ska Ska No.3" "SuperNOVA" 1 0 138 138 138 3 3 7 12 NA 0 0
"Star Gate Heaven" "SuperNOVA" 1 0 145 145 145 3 3 7 10 NA 0 0
"STARS (2nd NAOKI's style)" "SuperNOVA" 1 0 139 140 139 3 6 8 9 NA 0 0
"THE SHINING POLARIS" "SuperNOVA" 1 0 146 147 147 4 4 6 9 NA 0 0
"TIERRA BUENA" "SuperNOVA" 1 0 115 115 115 3 4 8 10 NA 0 0
"Tino's White Horse" "SuperNOVA" 1 0 110 148 0 4 5 8 11 NA 0 0
"TOMORROW" "SuperNOVA" 1 0 140 141 140 3 4 8 10 NA 0 0
"Tomorrow Perfume" "SuperNOVA" 1 0 144 144 144 3 4 8 10 NA 0 0
"TRUE LOVE" "SuperNOVA" 1 0 188 188 188 4 4 8 10 NA 0 0
"Try 2 Luv. U" "SuperNOVA" 1 0 115 115 115 3 4 6 8 NA 0 0
"un deux trois" "SuperNOVA" 1 0 70 140 0 3 4 8 10 NA 0 0
"Under the Sky" "SuperNOVA" 1 0 170 171 170 2 2 5 11 NA 0 0
"Xepher" "SuperNOVA" 1 1 170 171 170 4 7 10 13 15 0 0
"You gotta move it (feat. Julie Rugaard)" "SuperNOVA" 1 0 134 134 134 4 5 8 10 NA 0 0
"A thing called LOVE" "SuperNOVA2" 1 0 160 160 160 3 4 7 10 NA 0 0
"AM-3P (CHAOS Special)" "SuperNOVA2" 0 1 130 130 130 NA NA NA NA 14 0 0
"Arrabbiata" "SuperNOVA2" 1 0 225 225 225 5 11 13 15 NA 0 0
"B4U (VOLTAGE Special)" "SuperNOVA2" 0 1 155 155 155 NA NA NA NA 14 0 0
"Blind Justice ~Torn souls Hurt Faiths~" "SuperNOVA2" 1 0 137 165 0 3 5 8 12 NA 0 0
"Bloody Tears (IIDX EDITION)" "SuperNOVA2" 1 0 170 171 170 4 5 6 11 NA 0 0
"BRILLIANT 2U (STREAM Special)" "SuperNOVA2" 0 1 150 150 150 NA NA NA NA 13 0 0
"CaptivAte~CHIKAI~" "SuperNOVA2" 1 0 160 160 160 4 5 8 13 NA 0 0
"D2R (FREEZE Special)" "SuperNOVA2" 0 1 160 160 160 NA NA NA NA 12 0 0
"DEAD END (GROOVE RADAR Special)" "SuperNOVA2" 0 1 95 380 0 NA NA NA NA 18 0 0
"dream of love" "SuperNOVA2" 1 0 114 114 114 3 3 6 8 NA 0 0
"DYNAMITE RAVE (AIR Special)" "SuperNOVA2" 0 1 150 150 150 NA NA NA NA 8 0 0
"Electrified" "SuperNOVA2" 1 0 140 140 140 3 4 6 10 NA 0 0
"Every Day, Every Night (NM STYLE)" "SuperNOVA2" 1 0 90 90 90 3 4 6 10 NA 0 0
"Feelings Won't Fade(Extend Trance Mix)" "SuperNOVA2" 1 0 144 144 144 4 5 8 12 NA 0 0
"FIRE" "SuperNOVA2" 1 0 184 185 184 4 5 8 11 NA 0 0
"Flow (Jammin' Ragga Mix)" "SuperNOVA2" 1 0 70 140 0 4 5 8 13 NA 0 0
"Fly away -mix del matador-" "SuperNOVA2" 1 0 130 130 130 3 5 9 13 NA 0 0
"Freeway Shuffle" "SuperNOVA2" 1 1 145 145 145 3 4 8 10 12 0 0
"GIRIGILI Burning 24H!" "SuperNOVA2" 1 0 148 150 148 4 5 7 12 NA 0 0
"L'amour et la liberte(Darwin & DJ Silver remix)" "SuperNOVA2" 1 0 70 140 0 3 4 7 11 NA 0 0
"MARS WAR 3" "SuperNOVA2" 1 0 200 200 200 3 4 8 11 NA 0 0
"MOONSTER" "SuperNOVA2" 1 0 140 140 140 4 5 7 12 NA 0 0
"Music In The Rhythm" "SuperNOVA2" 1 0 155 155 155 4 7 8 11 NA 0 0
"NGO" "SuperNOVA2" 1 1 68 274 0 6 10 12 15 18 0 0
"PARANOiA ~HADES~" "SuperNOVA2" 1 1 75 300 0 7 11 15 16 18 0 0
"Pluto" "SuperNOVA2" 1 1 50 220 0 6 9 12 14 16 0 0
"Pluto Relinquish" "SuperNOVA2" 1 1 100 800 0 5 12 14 17 18 0 0
"Poseidon" "SuperNOVA2" 1 0 75 300 0 3 5 9 11 NA 0 0
"Raspberry Heart (English version)" "SuperNOVA2" 1 1 160 160 160 3 5 6 9 11 0 0
"Saturn" "SuperNOVA2" 1 0 78 155 0 3 7 9 13 NA 0 0
"Shades of Grey" "SuperNOVA2" 1 0 170 171 170 3 5 8 10 NA 0 0
